run;pdb;geom;detector distance;mode
153;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
154;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
155;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
156;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
157;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
158;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
159;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
160;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
161;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
162;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
163;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
164;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
165;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
166;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
167;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
168;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
169;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
170;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
171;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
172;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
173;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
174;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
175;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
176;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
177;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
178;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
179;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
180;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
181;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
182;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
183;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
184;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
185;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
186;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
187;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
188;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
189;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
190;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
191;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
192;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
193;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
194;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
195;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
196;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
197;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
198;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
199;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
200;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
201;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
202;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
203;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/lysozyme.cell;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
204;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
205;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
206;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
207;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
208;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
209;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
210;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
211;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
212;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
213;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
214;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
215;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
216;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
217;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
218;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
219;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
220;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
221;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
222;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
223;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
224;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
